SMILES,ChemBank_Name,GROUP,idCpd,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
C/C=C(/C)C(=O)OC(C)(C)C1Cc2cc3ccc(=O)oc3cc2O1,ACon1_002110,NP,8262,8262,0.3684210526315789,328.3640000000001,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.5416666666666666,1,1
C=C1CC(OC(=O)/C(=C/CO)COC(=O)/C(C)=C/CO)C2C(=C)C(=O)OC2C2C(C)C(=O)CC12,ACon1_002111,NP,8263,8263,0.52,474.5060000000003,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.38235294117647056,1,6
CC1(C(=O)[O-])CCCC2(C)c3cc(O)ccc3CCC12,ACon1_002112,NP,8264,8264,0.5882352941176471,273.35200000000003,3,18,2,16,14,0.2857142857142857,3.0,1.2857142857142858,0.7,1,3
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1C/C=C1\C(=O)OCC1O,ACon1_002113,NP,8265,8265,0.75,350.45500000000015,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.6,2,6
CC(C)=CCn1cnc(=N)c2[nH]cnc21,ACon1_002114,NP,8266,8266,0.3,203.24900000000002,2,11,1,10,9,0.2222222222222222,2.0,1.2222222222222223,0.6,1,0
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CC[NH+]3CC2CC(OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)C1OC,ACon1_002115,NP,8267,8267,0.4857142857142857,635.7340000000002,6,35,4,31,27,0.2962962962962963,3.0,1.2962962962962963,0.5869565217391305,2,7
C=C1CCC(C)C(C)(CCc2ccoc2)CC=CC=C1C(=O)[O-],ACon1_002116,NP,8268,8268,0.45,313.41700000000003,2,15,0,15,15,0.0,1.0,1.0,0.6521739130434783,2,2
COc1cc(C=O)cc2c1[nH]c1ccccc12,ACon1_002117,NP,8269,8269,0.07142857142857142,225.247,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.7647058823529411,1,0
COc1cc2c(cc1OC)C(C)[NH2+]CC2,ACon1_002118,NP,8270,8270,0.5,208.281,2,12,1,11,10,0.2,2.0,1.2,0.6666666666666666,1,1
CC12CCC(C(=O)[O-])(OC1=O)C2(C)C,ACon1_002119,NP,8271,8271,0.8,197.20999999999998,2,10,2,8,7,0.5714285714285714,2.0,1.4285714285714286,0.5,1,2
C=C1CCC2C(C)(C)CC(O)CC2(C)C1CC/C(=C/C(=O)OC)COC(C)=O,ACon1_002120,NP,8272,8272,0.7391304347826086,392.5360000000002,2,12,1,11,10,0.2,2.0,1.2,0.35714285714285715,1,4
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)[NH+]3C1[O-],ACon1_002121,NP,8273,8273,0.7,326.44000000000005,7,40,13,24,19,1.368421052631579,6.0,2.1052631578947367,0.7916666666666666,1,10
C=CC(C)(C)C12CC3C(=O)NC(C(C)CC)C(=O)N3C1Nc1ccccc12,ACon1_002122,NP,8274,8274,0.5454545454545454,367.49300000000017,4,22,3,19,16,0.375,4.0,1.375,0.5925925925925926,1,5
C=C1C(=O)OC2CC(C)C(CCC(C)O)=CCC12,ACon1_002123,NP,8275,8275,0.6666666666666666,250.33799999999997,2,12,1,11,10,0.2,2.0,1.2,0.5555555555555556,1,4
CC(=O)NCCCN(CCCCN(CCCNC(=O)/C=C/c1ccc(O)cc1)C(C)=O)C(=O)/C=C/c1ccc(O)cc1,ACon1_002124,NP,8276,8276,0.375,578.7100000000003,2,12,0,12,12,0.0,1.0,1.0,0.2857142857142857,2,0
CC1(CC(=O)[O-])CCC2(O1)C1(C)CCCC(C)(C)C1CC1OC12C,ACon1_002125,NP,8277,8277,0.95,335.46400000000006,4,20,2,18,15,0.26666666666666666,4.0,1.3333333333333333,0.625,1,6
COc1c(C2OCC(OC(C)=O)C(OC(C)=O)C2OC(C)=O)c(O)cc2oc(-c3ccc(OC4OC(CO)C(O)C(O)C4O)cc3)cc(=O)c12,ACon1_002126,NP,8278,8278,0.45454545454545453,704.6340000000005,5,30,1,29,28,0.07142857142857142,1.25,1.0714285714285714,0.56,4,9
CC1(C)CCC2(C(=O)[O-])CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)[O-])C(OC7OCC(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2C1O,ACon1_002127,NP,8279,8279,0.9024390243902439,778.9330000000001,7,42,4,38,34,0.23529411764705882,2.3333333333333335,1.2352941176470589,0.6181818181818182,3,18
CC1CCC2(C(=O)[O-])CCC3(C(=O)[O-])C(=CCC4C5(C)CCC(OC6OC(C)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1C,ACon1_002128,NP,8280,8280,0.9047619047619048,792.9600000000002,7,42,4,38,34,0.23529411764705882,2.3333333333333335,1.2352941176470589,0.6071428571428571,3,20
CC1=C2CCC(C(=O)[O-])=CC2C(C(C)C)CC1,ACon1_002129,NP,8281,8281,0.6666666666666666,233.331,2,12,1,11,10,0.2,2.0,1.2,0.5882352941176471,1,2
CC1OC(OC2CCC3(CO)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,ACon1_002130,NP,8282,8282,0.9142857142857143,698.8030000000006,7,40,3,37,34,0.17647058823529413,1.75,1.1764705882352942,0.6938775510204082,4,18
CC(=O)OCC12C(OC(=O)c3ccccc3)C(O)C3OC(=O)C(C)C(C)c4ncccc4C(=O)OCC4(C)OC1(C(OC(C)=O)C4C(OC(C)=O)C2OC(C)=O)C3(C)O,ACon1_002131,NP,8283,8283,0.5609756097560976,825.8170000000003,6,43,8,35,31,0.5161290322580645,3.0,1.3870967741935485,0.5254237288135594,2,13
CC[NH+]1CC2(C)CCC(O)C34C5CC6C(OC)CC(O)(C5C6O)C(O)(C(OC)C23)C14,ACon1_002132,NP,8284,8284,1.0,424.55800000000016,6,34,8,24,19,0.8421052631578947,6.0,1.7894736842105263,0.6333333333333333,1,14
C=CC1(C)CC(OC(=O)C(C)CO)C2C(=C)C(=O)OC2C1C(=C)CO,ACon1_002133,NP,8285,8285,0.5789473684210527,350.4110000000001,2,11,1,10,9,0.2222222222222222,2.0,1.2222222222222223,0.36,1,6
O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,ACon1_002134,NP,8286,8286,0.2857142857142857,464.37900000000013,4,24,1,23,22,0.09090909090909091,1.3333333333333333,1.0909090909090908,0.6666666666666666,3,5
CC(C)(O)/C=C/C1=CC(O)C(C)(O)CC1O,ACon1_002135,NP,8287,8287,0.6666666666666666,228.28799999999998,1,6,0,6,6,0.0,1.0,1.0,0.375,1,3
C=C1C(O)CC2C(C(=O)OC)=COC(OC3OC(CO)C(O)C(O)C3O)C12,ACon1_002136,NP,8288,8288,0.7058823529411765,388.36900000000014,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.5555555555555556,2,9
Nc1c(O)cccc1C(=O)[O-],ACon1_002137,NP,8289,8289,0.0,152.12899999999996,1,6,0,6,6,0.0,1.0,1.0,0.5454545454545454,1,0
COc1cc(C2OC(c3cc(OC)c(OC)c(OC)c3)C(C)C2C)cc(OC)c1OC,ACon1_002138,NP,8290,8290,0.5,432.51300000000026,3,17,0,17,17,0.0,1.0,1.0,0.5483870967741935,3,4
COC1OC(=O)C(CCC2(C)C(C)CCC3(C)C2CC(O)C(O)C32CO2)C1O,ACon1_002139,NP,8291,8291,0.9523809523809523,398.4960000000001,4,20,1,19,17,0.11764705882352941,2.0,1.1764705882352942,0.6071428571428571,2,10
O=C(CCc1ccc(O)cc1)CC(CCc1ccc(O)cc1)OC1OC(CO)C(O)C(O)C1O,ACon1_002140,NP,8292,8292,0.48,476.52200000000016,3,18,0,18,18,0.0,1.0,1.0,0.5294117647058824,3,6
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(C)C(O)C(OC(=O)/C=C/c3ccc(O)c(O)c3)C12,ACon1_002141,NP,8293,8293,0.5384615384615384,568.5280000000002,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.525,3,11
