SMILES,ChemBank_Name,GROUP,idCpd,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
COc1cc2c(cc1OC)CN(C(=O)Cn1c(C)cc(C)c(C#N)c1=S)CC2,TimTec1_001155,CC,4491,0.38095238095238093,397.50000000000017,3,18,1,17,16,0.125,1.5,1.125,0.5714285714285714,2,0
N#CC1CC(C#N)(C(=O)c2ccccc2)C2C=Cc3ccccc3N12,TimTec1_001156,CC,4492,0.19047619047619047,325.37100000000004,4,23,2,21,19,0.21052631578947367,2.0,1.2105263157894737,0.76,2,3
CCN(CC)c1c(C#N)c(SCC(=O)c2cccs2)cc2c1CCCC2,TimTec1_001157,CC,4493,0.42857142857142855,384.5700000000002,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.5769230769230769,2,0
CCOC(=O)N1CC=C2C(C1)C(c1cccc(C(F)(F)F)c1)C(C#N)=C(N)C2(C#N)C#N,TimTec1_001158,CC,4494,0.36363636363636365,441.41300000000007,3,18,1,17,16,0.125,1.5,1.125,0.5,2,2
N#Cc1c(-c2cccs2)cc(-c2ccc(C(=O)[O-])cc2)nc1SCc1cccs1,TimTec1_001159,CC,4495,0.045454545454545456,433.55900000000014,4,22,0,22,22,0.0,1.0,1.0,0.7586206896551724,4,0
CC1=C(C(=O)OCc2ccccc2)C(c2ccc[nH]2)C(C#N)C(=S)S1,TimTec1_001160,CC,4496,0.21052631578947367,368.4830000000002,3,17,0,17,17,0.0,1.0,1.0,0.68,3,2
COc1cc(OC)cc(C2c3nc(C)oc3N=C(N)C2C#N)c1,TimTec1_001161,CC,4497,0.3125,312.32900000000006,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.6521739130434783,2,2
CC(C)(C)c1ccc(C(=O)N2CCCC2)cc1,TimTec1_001162,CC,4498,0.5333333333333333,231.3389999999999,2,11,0,11,11,0.0,1.0,1.0,0.6470588235294118,2,0
N#Cc1c(-c2cccs2)cc(C(F)(F)F)nc1[S-],TimTec1_001163,CC,4499,0.09090909090909091,285.295,2,11,0,11,11,0.0,1.0,1.0,0.6111111111111112,2,0
CC1(C)C(C(=O)Nc2ccccc2C(F)(F)F)C1(C)C,TimTec1_001164,CC,4500,0.5333333333333333,285.309,2,9,0,9,9,0.0,1.0,1.0,0.45,2,0
CC(C)N1C/C(=C/c2ccccc2)C(=O)/C(=C/c2ccccc2)C1,TimTec1_001165,CC,4501,0.22727272727272727,317.4320000000001,3,18,0,18,18,0.0,1.0,1.0,0.75,3,0
CCOC(=O)c1c(N)sc2c(OCC)c(Br)ccc12,TimTec1_001166,CC,4502,0.3076923076923077,344.22999999999996,2,11,1,10,9,0.2222222222222222,2.0,1.2222222222222223,0.47368421052631576,1,0
Cc1sc(NC(=O)c2ccccc2)c(C(=O)N2CCCCC2)c1C,TimTec1_001167,CC,4503,0.3684210526315789,342.4640000000003,3,17,0,17,17,0.0,1.0,1.0,0.7083333333333334,3,0
[NH3+]Cc1c[nH]nc1-c1ccccc1,TimTec1_001168,CC,4504,0.1,174.227,2,11,0,11,11,0.0,1.0,1.0,0.8461538461538461,2,0
CCCCC(=O)c1ccc(C)[nH]c1=S,TimTec1_001169,CC,4505,0.45454545454545453,209.314,1,6,0,6,6,0.0,1.0,1.0,0.42857142857142855,1,0
N#Cc1c(C(F)(F)F)cc(-c2ccccc2)nc1[S-],TimTec1_001170,CC,4506,0.07692307692307693,279.266,2,12,0,12,12,0.0,1.0,1.0,0.631578947368421,2,0
O=S1(=O)CC(O)C(NCc2ccco2)C1,TimTec1_001171,CC,4507,0.5555555555555556,231.27300000000002,2,10,0,10,10,0.0,1.0,1.0,0.6666666666666666,2,2
Cn1ncc(Br)c1-c1nc2ccccc2[nH]1,TimTec1_001172,CC,4508,0.09090909090909091,277.125,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.875,2,0
O=c1c(Cl)c(NCCc2ccccc2)cnn1-c1ccccc1,TimTec1_001173,CC,4509,0.1111111111111111,325.7990000000001,3,18,0,18,18,0.0,1.0,1.0,0.782608695652174,3,0
COc1ccc(-c2nnc([S-])c3[n+]2-c2ccccc2NC3)cc1,TimTec1_001174,CC,4510,0.11764705882352941,322.39300000000003,4,24,2,22,20,0.2,2.0,1.2,0.8695652173913043,2,0
O=C(Nc1sc2c(c1C(=O)Nc1ccccc1)CCCC2)c1ccccc1,TimTec1_001175,CC,4511,0.18181818181818182,376.4810000000002,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.7777777777777778,3,0
CC(NC(=O)CSc1nc2c(c(=O)n1C)C1=C(CCCC1)C2)c1ccccc1,TimTec1_001176,CC,4512,0.4090909090909091,395.5280000000001,4,23,2,21,19,0.21052631578947367,2.0,1.2105263157894737,0.6785714285714286,2,1
CC1CCc2c(sc(N)c2C(=O)Nc2ccc(Cl)cc2)C1,TimTec1_001177,CC,4513,0.3125,320.8450000000001,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.7142857142857143,2,1
c1coc(CCC2[NH2+]CCn3cccc32)c1,TimTec1_001178,CC,4514,0.38461538461538464,217.29199999999997,3,16,1,15,14,0.14285714285714285,1.5,1.1428571428571428,0.875,2,1
CCOC(=O)c1c(NC(C)=O)sc2c1CCCCC2,TimTec1_001179,CC,4515,0.5714285714285714,281.377,2,12,1,11,10,0.2,2.0,1.2,0.5263157894736842,1,0
CC(NC(=O)CC(c1ccccc1)c1ccccc1)c1ccccc1,TimTec1_001180,CC,4516,0.17391304347826086,329.44300000000004,3,18,0,18,18,0.0,1.0,1.0,0.72,3,1
O=C([O-])C1CCCN1C(=O)OCc1ccccc1,TimTec1_001181,CC,4517,0.38461538461538464,248.258,2,11,0,11,11,0.0,1.0,1.0,0.6111111111111112,2,1
CCOc1ccc(N2C(=O)CCC2=O)cc1,TimTec1_001182,CC,4518,0.3333333333333333,219.23999999999992,2,11,0,11,11,0.0,1.0,1.0,0.6875,2,0
CCn1c2c(c3cc(Br)ccc31)CCCC2=O,TimTec1_001183,CC,4519,0.35714285714285715,292.176,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.7647058823529411,1,0
O=C(CN(CCO)C(=O)c1ccc(Cl)cc1)Nc1ccc(F)cc1,TimTec1_001184,CC,4520,0.17647058823529413,350.77700000000004,2,12,0,12,12,0.0,1.0,1.0,0.5,2,0
Cc1ccc2oc3nc(N)c(-c4ccc(Cl)cc4)cc3c(=O)c2c1,TimTec1_001185,CC,4521,0.05263157894736842,336.778,4,24,2,22,20,0.2,2.0,1.2,0.8333333333333334,2,0
CC(C)Cn1c(SCC(=O)Nc2ccc(F)cc2F)nc2ccccc2c1=O,TimTec1_001186,CC,4522,0.25,403.4540000000001,3,18,1,17,16,0.125,1.5,1.125,0.5714285714285714,2,0
COC(=O)c1ccc(NC(=O)CSC(=S)N2CCOCC2)cc1,TimTec1_001187,CC,4523,0.4,354.4530000000002,2,12,0,12,12,0.0,1.0,1.0,0.5217391304347826,2,0
NC1=[N+](CC(=O)c2ccc(Br)cc2)CCC1,TimTec1_001188,CC,4524,0.3333333333333333,282.16099999999994,2,11,0,11,11,0.0,1.0,1.0,0.6875,2,0
CCOC(=O)c1cnn2c(N)c(C#N)cnc12,TimTec1_001189,CC,4525,0.2,231.215,2,11,1,10,9,0.2222222222222222,2.0,1.2222222222222223,0.5294117647058824,1,0
