SMILES,ChemBank_Name,GROUP,idCpd,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
N#Cc1ccc(C(O)C2C=CC3C(=O)N(c4ccccc4)C(=O)C3N2Nc2ccccc2)cc1,BCB01_000020,DC/DC',8649,0.14814814814814814,450.49800000000016,5,29,1,28,27,0.07407407407407407,1.25,1.0740740740740742,0.7941176470588235,4,4
CC(C)c1ccc(NN2C(C(O)c3ccccn3)C=CC3C(=O)N(c4ccccc4)C(=O)C32)cc1,BCB01_000021,DC/DC',8650,0.25,468.5570000000002,5,29,1,28,27,0.07407407407407407,1.25,1.0740740740740742,0.7714285714285715,4,4
CN(C)c1ccc(C(O)C2C=CC3C(=O)NC(=O)C3N2Nc2ccc(Cl)cc2Cl)cc1,BCB01_000022,DC/DC',8651,0.2727272727272727,461.34900000000016,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.6774193548387096,3,4
CCOc1cc(C(O)C2C=CC3C(=O)N(c4ccccc4)C(=O)C3N2Nc2ccc(C(C)C)cc2)ccc1O,BCB01_000023,DC/DC',8652,0.2903225806451613,527.6210000000003,5,29,1,28,27,0.07407407407407407,1.25,1.0740740740740742,0.6923076923076923,4,4
COc1cc(C(O)C2C=CC3C(=O)NC(=O)C3N2Nc2ccc(Cl)cc2Cl)cc(OC)c1OC,BCB01_000024,DC/DC',8653,0.30434782608695654,508.3580000000002,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.6176470588235294,3,4
CC(C)c1ccc(NN2C(C(O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C=CC3C(=O)N(c4ccccc4)C(=O)C32)cc1,BCB01_000025,DC/DC',8654,0.2903225806451613,603.5630000000002,5,29,1,28,27,0.07407407407407407,1.25,1.0740740740740742,0.627906976744186,4,4
CC(=O)c1ccc(C(O)C2C=CC3C(=O)NC(=O)C3N2Nc2ccc(Cl)cc2Cl)cc1,BCB01_000026,DC/DC',8655,0.22727272727272727,460.31700000000023,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.6774193548387096,3,4
CC(C)c1ccc(NN2C(C(O)c3c(F)cccc3Cl)C=CC3C(=O)N(c4ccccc4)C(=O)C32)cc1,BCB01_000027,DC/DC',8656,0.2413793103448276,520.0040000000002,5,29,1,28,27,0.07407407407407407,1.25,1.0740740740740742,0.7297297297297297,4,4
O=C1C2C=CC(C(O)c3ccc(-c4ccccc4)s3)N(Nc3ccccc3F)C2C(=O)N1c1ccccc1,BCB01_000028,DC/DC',8657,0.13333333333333333,525.6050000000002,6,34,1,33,32,0.0625,1.2,1.0625,0.8421052631578947,5,4
Cc1cc(C)c(C(O)C2C=CC3C(=O)N(c4ccccc4)C(=O)C3N2Nc2ccc(C(C)C)cc2)c(C)c1,BCB01_000029,DC/DC',8658,0.3125,509.65000000000026,5,29,1,28,27,0.07407407407407407,1.25,1.0740740740740742,0.7105263157894737,4,4
C=C(C)C1CC=C(C(O)C2C=CC3C(=O)NC(=O)C3N2Nc2ccc(Cl)cc2Cl)CC1,BCB01_000030,DC/DC',8659,0.391304347826087,462.3770000000003,4,23,1,22,21,0.09523809523809523,1.3333333333333333,1.0952380952380953,0.6774193548387096,3,5
Cc1ccccc1C(O)C1C=CC2C(=O)N(c3ccccc3)C(=O)C2N1Nc1ccc(C(C)C)cc1,BCB01_000031,DC/DC',8660,0.26666666666666666,481.59600000000023,5,29,1,28,27,0.07407407407407407,1.25,1.0740740740740742,0.75,4,4
O=C1NC(=O)C2C1C=CC(C(O)c1ccco1)N2Nc1ccc(Cl)cc1Cl,BCB01_000032,DC/DC',8661,0.2222222222222222,408.24100000000016,4,22,1,21,20,0.1,1.3333333333333333,1.1,0.7407407407407407,3,4
