SMILES,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
CC(=O)OC1CCC2CC[NH+]3Cc4cc5c(cc4C1C23)OCO5,364,0.6111111111111112,316.377,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.8260869565217391,1,5
O=S(=O)(Oc1cc2c(cc1OS(=O)(=O)C(F)(F)F)C1C(O)C(O)C=C3CC[NH+](C2)C31)C(F)(F)F,365,0.5294117647058824,540.4360000000001,4,23,4,19,16,0.5,4.0,1.4375,0.47058823529411764,1,5
O=S(=O)(Oc1cc2c(cc1-c1cccs1)C[NH+]1CCC3=CC(O)C(O)C2C31)C(F)(F)F,366,0.4,474.50200000000007,5,28,4,24,21,0.38095238095238093,2.5,1.3333333333333333,0.6774193548387096,2,5
O=S(=O)(Oc1cc2c(cc1-c1cccs1)C1C(O)C(O)C=C3CC[NH+](C2)C31)C(F)(F)F,367,0.4,474.50200000000007,5,28,4,24,21,0.38095238095238093,2.5,1.3333333333333333,0.6774193548387096,2,5
CCCCC#Cc1cc2c(cc1C#CCCCC)C1C(O)C(O)C=C3CC[NH+](C2)C31,368,0.5555555555555556,404.57400000000024,4,23,4,19,16,0.5,4.0,1.4375,0.5333333333333333,1,5
CC(=O)OC1C=CC2(CCN=[N+]=[N-])OC(=O)N3Cc4cc5c(cc4C1C32)OCO5,369,0.47368421052631576,398.37500000000017,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.6551724137931034,1,4
C=CC1=CC(O)C(O)C2c3cc4c(cc3CN(C(=O)OCc3ccccc3)C12)OCO4,370,0.2916666666666667,421.4490000000002,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.7419354838709677,2,4
CC(=O)OC1C(=O)C=C2CCN3Cc4cc5c(cc4C1C23)OCO5,371,0.4444444444444444,327.33600000000007,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.7916666666666666,1,3
CC(=O)OC1C(Cl)C=C2CC[NH+]3Cc4cc5c(cc4C1C23)OCO5,372,0.5,348.80600000000004,5,28,5,23,19,0.5263157894736842,5.0,1.4736842105263157,0.7916666666666666,1,5
CC(=O)OC1C=C2CC[NH+]3Cc4cc(-c5ccccc5)c(-c5ccccc5)cc4C(C1OC(C)=O)C23,373,0.2903225806451613,480.5840000000003,6,35,4,31,28,0.2857142857142857,2.0,1.25,0.7777777777777778,3,5
O=C(OCc1ccccc1)N1Cc2cc3c(cc2C2C(O)C(O)C=C(CCCl)C21)OCO3,374,0.375,457.9100000000003,5,29,3,26,23,0.2608695652173913,2.5,1.2608695652173914,0.71875,2,4
CC(=O)OC1C=C(CCN=[N+]=[N-])C2[NH2+]Cc3cc4c(cc3C2C1OC(C)=O)OCO4,375,0.5,415.42600000000016,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.5666666666666667,1,4
CC(=O)OC1C=C(CCNc2ccccc2)C2C(c3cc4c(cc3CN2C(=O)OCc2ccccc2)OCO4)C1OC(C)=O,376,0.3235294117647059,598.6520000000004,6,35,3,32,29,0.20689655172413793,2.0,1.206896551724138,0.6590909090909091,3,4
Cc1noc(C)c1-c1cc2c(cc1OS(=O)(=O)C(F)(F)F)C[NH+]1CCC3=CC(O)C(O)C2C31,377,0.47619047619047616,487.47600000000017,5,28,4,24,21,0.38095238095238093,2.5,1.3333333333333333,0.6363636363636364,2,5
Cc1noc(C)c1-c1cc2c(cc1OS(=O)(=O)C(F)(F)F)C1C(O)C(O)C=C3CC[NH+](C2)C31,378,0.47619047619047616,487.47600000000017,5,28,4,24,21,0.38095238095238093,2.5,1.3333333333333333,0.6363636363636364,2,5
