SMILES,Molecular weight,Num chiral centers,ChiralCenterCount,Gram-negative,canvasUID,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
C/C(=C\C(=O)OCCCCCCCCC(=O)[O-])CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,500.635,8,5,0,610,0.8461538461538461,499.62100000000055,2,9,0,9,9,0.0,1.0,1.0,0.2571428571428571,2,8
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1,424.991,9,8,0,611,0.9444444444444444,425.9990000000002,2,11,0,11,11,0.0,1.0,1.0,0.4074074074074074,2,10
CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1,406.545,9,9,0,612,0.9444444444444444,407.55300000000005,2,11,0,11,11,0.0,1.0,1.0,0.4074074074074074,2,10
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC/C=C/c2cnc3ccccc3c2)CC(C)C(=O)C(C)C2NC(=O)OC12C,765.953,13,13,0,613,0.6428571428571429,766.953,5,37,2,35,33,0.12121212121212122,1.6666666666666667,1.121212121212121,0.6,3,13
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,747.973,18,18,0,614,0.9473684210526315,748.9720000000003,3,26,0,26,26,0.0,1.0,1.0,0.5,3,18
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C2NC(COCCOC)OC(C2C)C1(C)O,835.095,20,19,0,615,0.9761904761904762,836.0940000000004,4,32,2,30,29,0.13793103448275862,1.3333333333333333,1.103448275862069,0.5,3,20
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OCC(C)C([NH+](C)C)C2O)C2(C)CC(C)/C(=N\C(C)=O)C(C)C(OC/C(=N/OCc3ccc(-n4cccn4)nc3)CO2)C1(C)O,841.023,13,13,0,616,0.6976744186046512,842.0239999999997,5,42,5,37,36,0.2777777777777778,1.25,1.1666666666666667,0.6,4,13
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,733.945,18,18,0,617,0.9459459459459459,734.9449999999998,3,26,0,26,26,0.0,1.0,1.0,0.5098039215686274,3,18
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)/C(=N\OCOCCOC)C(C)C(O)C1(C)O,837.067,18,18,0,618,0.9512195121951219,838.0659999999999,3,26,0,26,26,0.0,1.0,1.0,0.4482758620689655,3,18
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)OC12C,812.025,13,13,0,619,0.7209302325581395,813.0259999999998,5,36,1,35,34,0.058823529411764705,1.25,1.0588235294117647,0.5862068965517241,4,13
